"V_COD_ESTA","metodo"
100007,"QM"
100015,"QM"
100019,"QM"
100020,"QM"
100021,"CUTOFF+QM"
100026,"QM"
100028,"CUTOFF+QM"
100030,"QM"
100034,"QM"
100043,"QM"
100044,"QM"
100046,"QM"
100059,"QM"
100065,"CUTOFF+QM"
100072,"QM"
100081,"QM"
100088,"CUTOFF+QM"
100090,"QM"
100092,"QM"
100100,"CUTOFF+QM"
100101,"QM"
100104,"QM"
100105,"QM"
100109,"QM"
100110,"QM"
100113,"QM"
100119,"QM"
100120,"QM"
100121,"QM"
100126,"CUTOFF+QM"
100128,"QM"
100132,"QM"
100136,"QM"
100137,"QM"
100142,"QM"
100150,"QM"
102009,"QM"
103008,"CUTOFF+QM"
103009,"CUTOFF+QM"
103011,"CUTOFF+QM"
103012,"QM"
103014,"QM"
103015,"QM"
103016,"CUTOFF+QM"
103023,"QM"
103024,"CUTOFF+QM"
103030,"QM"
103031,"QM"
103036,"CUTOFF+QM"
103038,"CUTOFF+QM"
103040,"QM"
103041,"CUTOFF+QM"
103042,"QM"
103043,"QM"
103044,"QM"
103046,"QM"
103049,"CUTOFF+QM"
103052,"CUTOFF+QM"
103054,"QM"
104010,"QM"
104014,"QM"
104016,"QM"
104023,"CUTOFF+QM"
104056,"QM"
104057,"CUTOFF+QM"
104058,"CUTOFF+QM"
104059,"QM"
104065,"QM"
104067,"QM"
104071,"QM"
104079,"QM"
104084,"QM"
104090,"CUTOFF+QM"
105012,"A"
105013,"CUTOFF+QM"
105014,"A"
105015,"CUTOFF+QM"
105016,"CUTOFF+QM"
105022,"QM"
105023,"QM"
105040,"CUTOFF+QM"
105042,"CUTOFF+QM"
105046,"QM"
105054,"CUTOFF+QM"
105055,"QM"
105056,"QM"
105057,"QM"
105058,"QM"
105062,"QM"
105063,"CUTOFF+QM"
105064,"CUTOFF+QM"
105065,"QM"
105067,"QM"
105068,"QM"
105070,"CUTOFF+QM"
105074,"CUTOFF+QM"
105075,"CUTOFF+QM"
105078,"QM"
105079,"QM"
105090,"QM"
105095,"QM"
105096,"QM"
105100,"CUTOFF+QM"
105103,"CUTOFF+QM"
105105,"CUTOFF+QM"
105106,"QM"
106010,"CUTOFF+QM"
106013,"QM"
106014,"QM"
106016,"QM"
106017,"CUTOFF+QM"
106019,"QM"
106022,"QM"
106032,"QM"
106034,"CUTOFF+QM"
106036,"QM"
106037,"CUTOFF+QM"
106038,"CUTOFF+QM"
106039,"QM"
106040,"QM"
106042,"QM"
106043,"CUTOFF+QM"
106046,"CUTOFF+QM"
106047,"QM"
106049,"A"
106052,"CUTOFF+QM"
106053,"QM"
106054,"CUTOFF+QM"
106056,"QM"
106057,"CUTOFF+QM"
106058,"CUTOFF+QM"
106060,"CUTOFF+QM"
106061,"QM"
106065,"QM"
106068,"QM"
106071,"CUTOFF+QM"
106077,"CUTOFF+QM"
106083,"QM"
106088,"CUTOFF+QM"
106091,"QM"
106092,"QM"
106094,"QM"
106095,"CUTOFF+QM"
106096,"CUTOFF+QM"
106098,"CUTOFF+QM"
106108,"CUTOFF+QM"
106109,"QM"
106110,"QM"
106112,"QM"
107002,"CUTOFF+QM"
107005,"CUTOFF+QM"
107006,"CUTOFF+QM"
107008,"CUTOFF+QM"
107009,"CUTOFF+QM"
107012,"QM"
107013,"QM"
107016,"CUTOFF+QM"
107017,"QM"
107018,"QM"
107028,"QM"
107035,"QM"
107036,"CUTOFF+QM"
107037,"CUTOFF+QM"
107038,"QM"
107052,"QM"
107054,"QM"
107055,"QM"
107057,"CUTOFF+QM"
107058,"QM"
107059,"CUTOFF+QM"
107068,"QM"
107069,"QM"
107091,"CUTOFF+QM"
107092,"QM"
107093,"QM"
107095,"QM"
108001,"QM"
108004,"QM"
108017,"QM"
108021,"QM"
108025,"QM"
108026,"CUTOFF+QM"
108027,"QM"
108028,"QM"
108033,"CUTOFF+QM"
108034,"QM"
108043,"CUTOFF+QM"
108044,"CUTOFF+QM"
108045,"QM"
108046,"QM"
108047,"QM"
109003,"QM"
109009,"CUTOFF+QM"
109014,"CUTOFF+QM"
109016,"QM"
109017,"QM"
109018,"QM"
109019,"QM"
109020,"A"
109022,"QM"
109027,"QM"
109028,"QM"
109032,"QM"
109038,"CUTOFF+QM"
109039,"A"
109040,"QM"
109045,"QM"
109048,"QM"
110007,"QM"
110008,"QM"
110016,"QM"
110017,"QM"
110018,"QM"
110019,"CUTOFF+QM"
110020,"QM"
110021,"CUTOFF+QM"
110025,"CUTOFF+QM"
110027,"QM"
110037,"QM"
110039,"QM"
110040,"QM"
110041,"QM"
110042,"QM"
110053,"QM"
110056,"QM"
110057,"CUTOFF+QM"
110059,"QM"
110063,"QM"
111004,"QM"
111005,"CUTOFF+QM"
111018,"QM"
111022,"QM"
111023,"QM"
111025,"QM"
111026,"CUTOFF+QM"
111027,"QM"
111028,"CUTOFF+QM"
111029,"QM"
111030,"QM"
111031,"QM"
111038,"QM"
111039,"QM"
111046,"QM"
111057,"QM"
111058,"CUTOFF+QM"
111060,"QM"
111061,"CUTOFF+QM"
111066,"CUTOFF+QM"
111067,"CUTOFF+QM"
111070,"A"
111081,"QM"
111083,"QM"
111084,"QM"
111085,"CUTOFF+QM"
111086,"CUTOFF+QM"
111087,"QM"
111088,"QM"
111089,"QM"
111091,"QM"
111092,"QM"
111093,"QM"
111095,"QM"
111097,"QM"
111114,"QM"
111144,"CUTOFF+QM"
112012,"QM"
112028,"QM"
112036,"QM"
112037,"QM"
112044,"QM"
112051,"QM"
112054,"QM"
112055,"CUTOFF+QM"
112056,"CUTOFF+QM"
112057,"QM"
112058,"QM"
112059,"CUTOFF+QM"
112060,"QM"
112061,"QM"
112065,"QM"
112066,"QM"
112067,"QM"
112069,"QM"
112080,"QM"
112081,"QM"
112082,"QM"
112083,"QM"
112096,"QM"
112126,"QM"
112127,"QM"
112128,"QM"
112130,"A"
112134,"QM"
112135,"QM"
112142,"QM"
112154,"QM"
112171,"QM"
113009,"QM"
113010,"QM"
113016,"QM"
113019,"QM"
113021,"QM"
113022,"QM"
113025,"CUTOFF+QM"
113029,"CUTOFF+QM"
113031,"QM"
113034,"QM"
113035,"QM"
113037,"QM"
113038,"QM"
113041,"QM"
113044,"QM"
113058,"QM"
113059,"QM"
113067,"QM"
113081,"QM"
113082,"QM"
113086,"QM"
113087,"QM"
113088,"QM"
113091,"QM"
113100,"QM"
113101,"QM"
113116,"QM"
113119,"CUTOFF+QM"
113122,"QM"
113128,"QM"
114006,"QM"
114008,"QM"
114018,"QM"
114020,"QM"
114021,"QM"
114023,"CUTOFF+QM"
114030,"QM"
114032,"QM"
114033,"QM"
114034,"QM"
114035,"QM"
114038,"QM"
114039,"QM"
114040,"QM"
114041,"QM"
114042,"QM"
114043,"QM"
114044,"QM"
114046,"QM"
114049,"QM"
114050,"QM"
114055,"CUTOFF+QM"
114058,"CUTOFF+QM"
114065,"CUTOFF+QM"
114066,"QM"
114067,"QM"
114072,"QM"
114093,"QM"
114096,"CUTOFF+QM"
115015,"QM"
115017,"QM"
115018,"QM"
115019,"CUTOFF+QM"
115020,"QM"
115021,"QM"
115022,"QM"
115023,"QM"
115024,"QM"
115025,"QM"
115027,"QM"
115029,"QM"
115033,"QM"
115035,"QM"
115037,"QM"
115038,"QM"
115041,"QM"
115043,"QM"
115044,"CUTOFF+QM"
115046,"CUTOFF+QM"
115047,"CUTOFF+QM"
115049,"QM"
115051,"CUTOFF+QM"
115052,"QM"
115053,"QM"
115076,"QM"
115078,"QM"
115084,"CUTOFF+QM"
115085,"QM"
115086,"QM"
115087,"QM"
115088,"QM"
115089,"CUTOFF+QM"
115090,"QM"
115092,"QM"
115098,"QM"
115101,"QM"
115126,"QM"
115128,"QM"
115129,"CUTOFF+QM"
115138,"QM"
116003,"QM"
116005,"QM"
116006,"QM"
116009,"QM"
116011,"QM"
116013,"CUTOFF+QM"
116014,"QM"
116017,"QM"
116020,"QM"
116021,"QM"
116022,"QM"
116023,"CUTOFF+QM"
116025,"QM"
116026,"QM"
116027,"QM"
116029,"CUTOFF+QM"
116030,"QM"
116033,"QM"
116043,"QM"
116046,"QM"
116049,"QM"
116051,"QM"
116052,"QM"
116058,"QM"
116060,"QM"
116061,"QM"
117002,"QM"
117003,"QM"
117005,"QM"
117006,"QM"
117007,"QM"
117008,"QM"
117012,"QM"
117013,"QM"
117014,"QM"
117018,"QM"
117019,"QM"
117020,"QM"
117030,"QM"
117033,"QM"
117034,"QM"
117037,"QM"
117039,"QM"
117040,"QM"
117041,"QM"
117043,"QM"
117048,"QM"
117049,"QM"
118002,"QM"
118004,"QM"
